cle_obs,code_departement,nom_departement,annee_ref,type_info_geo
1093685,974,"La Réunion",2017,Rattachement
1093686,974,"La Réunion",2017,Rattachement
1093687,974,"La Réunion",2017,Rattachement
1093688,974,"La Réunion",2017,Rattachement
1093689,974,"La Réunion",2017,Rattachement
1093690,974,"La Réunion",2017,Rattachement
1093691,974,"La Réunion",2017,Rattachement
1093692,974,"La Réunion",2017,Rattachement
1093693,974,"La Réunion",2017,Rattachement
1093694,974,"La Réunion",2017,Rattachement
1093695,974,"La Réunion",2017,Rattachement
1093696,974,"La Réunion",2017,Rattachement
1093697,974,"La Réunion",2017,Rattachement
1093698,974,"La Réunion",2017,Rattachement
1093699,974,"La Réunion",2017,Rattachement
1093700,974,"La Réunion",2017,Rattachement
1093701,974,"La Réunion",2017,Rattachement
1093702,974,"La Réunion",2017,Rattachement
1093703,974,"La Réunion",2017,Rattachement
1093704,974,"La Réunion",2017,Rattachement
1093705,974,"La Réunion",2017,Rattachement
1093706,974,"La Réunion",2017,Rattachement
1093707,974,"La Réunion",2017,Rattachement
1093708,974,"La Réunion",2017,Rattachement
1093709,974,"La Réunion",2017,Rattachement
1093710,974,"La Réunion",2017,Rattachement
1093711,974,"La Réunion",2017,Rattachement
1093712,974,"La Réunion",2017,Rattachement
1093713,974,"La Réunion",2017,Rattachement
1093714,974,"La Réunion",2017,Rattachement
1093715,974,"La Réunion",2017,Rattachement
1093716,974,"La Réunion",2017,Rattachement
1093717,974,"La Réunion",2017,Rattachement
1093718,974,"La Réunion",2017,Rattachement
1093719,974,"La Réunion",2017,Rattachement
1093720,974,"La Réunion",2017,Rattachement
1093721,974,"La Réunion",2017,Rattachement
1093722,974,"La Réunion",2017,Rattachement
1093723,974,"La Réunion",2017,Rattachement
1093724,974,"La Réunion",2017,Rattachement
1093725,974,"La Réunion",2017,Rattachement
1093726,974,"La Réunion",2017,Rattachement
1093727,974,"La Réunion",2017,Rattachement
1093728,974,"La Réunion",2017,Rattachement
1093729,974,"La Réunion",2017,Rattachement
1093730,974,"La Réunion",2017,Rattachement
1093731,974,"La Réunion",2017,Rattachement
1093732,974,"La Réunion",2017,Rattachement
1093733,974,"La Réunion",2017,Rattachement
1093734,974,"La Réunion",2017,Rattachement
1093735,974,"La Réunion",2017,Rattachement
1093736,974,"La Réunion",2017,Rattachement
1093737,974,"La Réunion",2017,Rattachement
1093738,974,"La Réunion",2017,Rattachement
1093739,974,"La Réunion",2017,Rattachement
1093740,974,"La Réunion",2017,Rattachement
1093741,974,"La Réunion",2017,Rattachement
1093742,974,"La Réunion",2017,Rattachement
1093743,974,"La Réunion",2017,Rattachement
1093744,974,"La Réunion",2017,Rattachement
1093745,974,"La Réunion",2017,Rattachement
1093746,974,"La Réunion",2017,Rattachement
1093747,974,"La Réunion",2017,Rattachement
1093748,974,"La Réunion",2017,Rattachement
1093749,974,"La Réunion",2017,Rattachement
1093750,974,"La Réunion",2017,Rattachement
1093751,974,"La Réunion",2017,Rattachement
1093752,974,"La Réunion",2017,Rattachement
1093753,974,"La Réunion",2017,Rattachement
1093754,974,"La Réunion",2017,Rattachement
1093755,974,"La Réunion",2017,Rattachement
1093756,974,"La Réunion",2017,Rattachement
1093757,974,"La Réunion",2017,Rattachement
1093758,974,"La Réunion",2017,Rattachement
1093759,974,"La Réunion",2017,Rattachement
1093760,974,"La Réunion",2017,Rattachement
1093761,974,"La Réunion",2017,Rattachement
1093762,974,"La Réunion",2017,Rattachement
1093763,974,"La Réunion",2017,Rattachement
1093764,974,"La Réunion",2017,Rattachement
