cle_obs,code_maille,version_ref,nom_ref,type_info_geo
1184762,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1180547,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1186109,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1184198,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1188314,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1183238,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1180712,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1197985,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1178635,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1188176,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1198176,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1095294,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1181091,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1182245,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1177385,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1187200,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1196937,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1184336,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1188405,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1182346,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1197801,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1184891,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1196729,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1192651,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1094735,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1181877,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1185670,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1177495,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1178590,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1198319,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1185492,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1195269,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1185240,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1184046,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1178633,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1180820,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1182416,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1178059,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1187491,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1094853,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1181185,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1195272,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1094974,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1196508,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1192868,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1180703,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1191017,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1186505,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1185549,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1093814,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1182125,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1180244,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1196143,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1189228,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1184108,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1183295,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1182485,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1187696,2kmUTM40E322S7656,2019,"SINP 974",Rattachement
1094653,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1195483,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1185205,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1185259,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1181480,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1188379,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1096797,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1188693,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1187058,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1179203,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1185447,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1189253,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1095050,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1188125,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1184267,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1195443,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1189426,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1096835,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1179150,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1180005,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1179277,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1097113,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1182014,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1182724,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1183083,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1188226,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1184679,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1177977,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1094507,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1095497,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1185782,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1191881,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1177939,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1192300,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1198456,2kmUTM40E318S7664,2019,"SINP 974",Rattachement
1177809,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1096637,2kmUTM40E342S7638,2019,"SINP 974",Rattachement
1179829,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1094059,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1190481,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1178088,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1095079,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1184982,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1180979,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1182432,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1093967,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1186348,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1094225,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1179720,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1178272,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1190906,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1187863,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1186768,2kmUTM40E322S7656,2019,"SINP 974",Rattachement
1096260,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1190651,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1195881,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1190519,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1185585,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1185198,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1189298,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1188257,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1184352,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1183256,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1182082,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1181347,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1189806,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1197921,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1095357,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1192025,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1195475,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1189872,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1095641,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
