cle_obs,nom,definition,valeur,unite,thematique,type
1197783,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1093870,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197464,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1093797,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179900,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186176,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186209,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097093,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181711,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183078,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197939,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196872,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185006,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183850,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191192,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094205,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096639,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178581,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191319,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096970,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188348,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191899,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095919,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183774,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095996,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095339,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184659,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187868,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096122,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
