cle_obs,code_maille,version_ref,nom_ref,type_info_geo
1192723,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1095313,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1179748,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1191353,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1196898,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1189421,10kmUTM40E320S7640,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1095985,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1096601,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1196730,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1195849,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1185088,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1186574,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184127,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1188320,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1195589,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1096310,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1093816,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1188627,10kmUTM40E320S7640,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1188544,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1181781,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1180316,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1182245,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1197647,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1186037,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184724,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1094968,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1179408,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1178322,10kmUTM40E310S7670,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1189690,10kmUTM40E330S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1189560,10kmUTM40E330S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1196935,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1096990,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1093656,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1181201,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1185349,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184419,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1190683,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1095767,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1094253,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1196749,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1187582,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184246,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1179437,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1095188,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1187464,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1192886,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1196666,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1181321,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1177399,10kmUTM40E310S7670,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1185006,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1186795,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1182706,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1093641,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1181501,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1182169,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1096824,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1186329,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1182236,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184001,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1190534,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184767,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1178753,10kmUTM40E310S7670,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1095942,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1187547,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1197396,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1183633,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1191043,10kmUTM40E340S7630,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1184569,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1198177,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1197125,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1188526,10kmUTM40E320S7650,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1196044,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
1181969,10kmUTM40E310S7660,2012,"Grille nationale (10km x 10km) Réunion",Rattachement
