cle_obs,code_me,version_me,date_me,type_info_geo
1093735,FRLC11,2,2016-11-01,Rattachement
1185346,FRLC05,2,2016-11-01,Rattachement
1188323,FRLC05,2,2016-11-01,Rattachement
1179847,FRLC06,2,2016-11-01,Rattachement
1093898,FRLC11,2,2016-11-01,Rattachement
1182788,FRLC05,2,2016-11-01,Rattachement
1178984,FRLC06,2,2016-11-01,Rattachement
1180380,FRLC06,2,2016-11-01,Rattachement
1196286,FRLC05,2,2016-11-01,Rattachement
1183255,FRLC06,2,2016-11-01,Rattachement
1190225,FRLC09,2,2016-11-01,Rattachement
1182031,FRLC05,2,2016-11-01,Rattachement
1177361,FRLC05,2,2016-11-01,Rattachement
1197066,FRLC05,2,2016-11-01,Rattachement
1193119,FRLC12,2,2016-11-01,Rattachement
1184649,FRLC05,2,2016-11-01,Rattachement
1193126,FRLC12,2,2016-11-01,Rattachement
1181305,FRLC05,2,2016-11-01,Rattachement
1178803,FRLC05,2,2016-11-01,Rattachement
1177814,FRLC05,2,2016-11-01,Rattachement
1196355,FRLC05,2,2016-11-01,Rattachement
1190147,FRLC09,2,2016-11-01,Rattachement
1192252,FRLC12,2,2016-11-01,Rattachement
1186759,FRLC05,2,2016-11-01,Rattachement
1190776,FRLC09,2,2016-11-01,Rattachement
1192529,FRLC12,2,2016-11-01,Rattachement
1180583,FRLC05,2,2016-11-01,Rattachement
1185795,FRLC05,2,2016-11-01,Rattachement
1198143,FRLC06,2,2016-11-01,Rattachement
1187899,FRLC05,2,2016-11-01,Rattachement
1093986,FRLC11,2,2016-11-01,Rattachement
1184819,FRLC05,2,2016-11-01,Rattachement
1195846,FRLC06,2,2016-11-01,Rattachement
1178329,FRLC05,2,2016-11-01,Rattachement
1191825,FRLC09,2,2016-11-01,Rattachement
1178924,FRLC05,2,2016-11-01,Rattachement
1179989,FRLC05,2,2016-11-01,Rattachement
1191904,FRLC12,2,2016-11-01,Rattachement
1198071,FRLC06,2,2016-11-01,Rattachement
1196996,FRLC08,2,2016-11-01,Rattachement
1193018,FRLC12,2,2016-11-01,Rattachement
1177873,FRLC05,2,2016-11-01,Rattachement
1198522,FRLC05,2,2016-11-01,Rattachement
1189284,FRLC09,2,2016-11-01,Rattachement
1198491,FRLC05,2,2016-11-01,Rattachement
1183317,FRLC06,2,2016-11-01,Rattachement
1181183,FRLC05,2,2016-11-01,Rattachement
1095734,FRLC11,2,2016-11-01,Rattachement
1190091,FRLC09,2,2016-11-01,Rattachement
1186661,FRLC05,2,2016-11-01,Rattachement
1182922,FRLC05,2,2016-11-01,Rattachement
1097135,FRLC11,2,2016-11-01,Rattachement
1182452,FRLC05,2,2016-11-01,Rattachement
1187532,FRLC08,2,2016-11-01,Rattachement
1181652,FRLC05,2,2016-11-01,Rattachement
1190926,FRLC09,2,2016-11-01,Rattachement
1198283,FRLC06,2,2016-11-01,Rattachement
1181676,FRLC05,2,2016-11-01,Rattachement
1093662,FRLC11,2,2016-11-01,Rattachement
1192696,FRLC12,2,2016-11-01,Rattachement
1186111,FRLC08,2,2016-11-01,Rattachement
1179490,FRLC06,2,2016-11-01,Rattachement
1196448,FRLC05,2,2016-11-01,Rattachement
1195891,FRLC06,2,2016-11-01,Rattachement
1094500,FRLC11,2,2016-11-01,Rattachement
1189027,FRLC10,2,2016-11-01,Rattachement
1197279,FRLC10,2,2016-11-01,Rattachement
1185703,FRLC05,2,2016-11-01,Rattachement
1192065,FRLC12,2,2016-11-01,Rattachement
1097211,FRLC08,2,2016-11-01,Rattachement
1189871,FRLC09,2,2016-11-01,Rattachement
1096216,FRLC11,2,2016-11-01,Rattachement
1197868,FRLC06,2,2016-11-01,Rattachement
1180065,FRLC06,2,2016-11-01,Rattachement
1187457,FRLC08,2,2016-11-01,Rattachement
1198749,FRLC11,2,2016-11-01,Rattachement
1180432,FRLC05,2,2016-11-01,Rattachement
1191168,FRLC09,2,2016-11-01,Rattachement
1180351,FRLC05,2,2016-11-01,Rattachement
1198018,FRLC06,2,2016-11-01,Rattachement
1198251,FRLC05,2,2016-11-01,Rattachement
1190752,FRLC09,2,2016-11-01,Rattachement
1188599,FRLC05,2,2016-11-01,Rattachement
1196687,FRLC08,2,2016-11-01,Rattachement
1097149,FRLC11,2,2016-11-01,Rattachement
1197675,FRLC06,2,2016-11-01,Rattachement
1183637,FRLC05,2,2016-11-01,Rattachement
1189383,FRLC09,2,2016-11-01,Rattachement
