Programme;Station;Date;REPLICAT_Numero;Taxon;Groupe_taxons;MESURE_Numero_individu;REPLICAT_Abondance_poissons_Protocole_BELT_-_transects_aleatoires_-_suivi_cible;REPLICAT_Longueur_poisson_cm_Protocole_BELT_-_suivi_cible-Centimetre;REPLICAT_Translation_Suivi_Epinephelus_merra_POPMER-Centimetre;REPLICAT_Substrat_Suivis_Epinephelus_merra_POPMER;REPLICAT_Anfractuosite_suivis_Epinephelus_merra_-_POMER_Pothin_K_2007;REPLICAT_Longueur_transect_metre_ruban-Metre;REPLICAT_Largeur_obs-Metre;OBSERVATION_Profondeur-Metre;OBSERVATION_Pluies_<24h;OBSERVATION_Ensoleillement;OBSERVATION_Vent;OBSERVATION_Etat_de_la_mer;OBSERVATION_Courant;OBSERVATION_Maree;OBSERVATION_Visibilite;MESURE_Organisme_analyste;OBSERVATION_Campagne;OBSERVATION_Campagne_commentaires;STATION_Identifiant;STATION_Mnemonique;STATION_Entite_classement;OBSERVATION_Coordonnees_MINX;OBSERVATION_Coordonnees_MAXX;OBSERVATION_Coordonnees_MINY;OBSERVATION_Coordonnees_MAXY;REPLICAT_Moyen_acquisition;REPLICAT_Organisme_observateur;OBSERVATION_Observateurs;OBSERVATION_Mnemonique;REPLICAT_Taille;REPLICAT_Unite;MESURE_Commentaires;Taxon_saisi;MESURE_Niveau_qualite;MESURE_Date_Qualif;MESURE_Commentaire_Qualif;MESURE_Identifiant_interne_TAXON_NAME_ID;MESURE_Identifiants_interne_MEAS_ID;MESURE_Identifiants_interne_TAXON_MEAS_ID;STATION_Entite_classement_Type;STATION_Entite_classement_Identifiant;STATION_Entite_classement_Rang_lieu;OBSERVATION_Heure;OBSERVATION_Commentaire;OBSERVATION_Date_controle;OBSERVATION_Date_validation;OBSERVATION_Niveau_qualite;OBSERVATION_Date_qualification;OBSERVATION_Commentaire_qualification;OBSERVATION_Geometrie_heritee;OBSERVATION_Profondeur_precise;OBSERVATION_Profondeur_precise_Symbole_unite;REPLICAT_Heure;REPLICAT_Profondeur_precise;REPLICAT_Profondeur_precise_Min;REPLICAT_Profondeur_precise_Max;REPLICAT_Geometrie_heritee;REPLICAT_Profondeur_precise_Symbole_unite;REPLICAT_Profondeur_precise_Unite;REPLICAT_Commentaire;REPLICAT_Moyen_acquisition_Taille;REPLICAT_Moyen_acquisition_Taille_Symbole_unite;REPLICAT_Nombre_individu;REPLICAT_Date_controle;REPLICAT_Date_validation;REPLICAT_Niveau_qualite;REPLICAT_Date_qualification;REPLICAT_Commentaire_qualification;REPLICAT_Coordonnees_MINX;REPLICAT_Coordonnees_MAXX;REPLICAT_Coordonnees_MINY;REPLICAT_Coordonnees_MAXY;Moratoire
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;27/01/2014;1;;;1;0;;;;;20;2;;Nulle;Moyen;Calme;Agitée;Moyen;NA;de 11 à 18 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2014_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;;Non qualifié;;;;69952034|69952035|69952038|69952036|69952033|69952032|69952037|69957360|69957359|69957358;;Zones marines;126;244;10:53:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,7;m;;;;;1;;;Observateur(s) : F-STARCEVIC - Issu de la reprise QUADRILABO du 07/02/2019;;;1;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;10/02/2015;1;Epinephelus merra;;1;1;7;20;;Absence;20;2;;Nulle;Fort;NA;NA;NA;Descendante;NA;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2015_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952041|69952042|69952045|69952043|69952040|69952039|69952044|69957362|69957361;67300987|67300986|67300988|67300985;Zones marines;126;244;12:39:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,6;m;;;;;1;;;Observateur(s) : Jérome CLOTAGATIDE - Issu de la reprise QUADRILABO du 07/02/2019;;;3;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;10/02/2015;1;Epinephelus merra;;2;1;7;290;;Présence;20;2;;Nulle;Fort;NA;NA;NA;Descendante;NA;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2015_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952041|69952042|69952045|69952043|69952040|69952039|69952044|69957362|69957361;67300991|67300990|67300992|67300989;Zones marines;126;244;12:39:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,6;m;;;;;1;;;Observateur(s) : Jérome CLOTAGATIDE - Issu de la reprise QUADRILABO du 07/02/2019;;;3;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;10/02/2015;1;Epinephelus merra;Acropore digité;3;1;9;1200;Substrat dur colonisé;Présence;20;2;;Nulle;Fort;NA;NA;NA;Descendante;NA;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2015_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952041|69952042|69952045|69952043|69952040|69952039|69952044|69957362|69957361;67300995|67300994|67300996|67300997|67300993;Zones marines;126;244;12:39:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,6;m;;;;;1;;;Observateur(s) : Jérome CLOTAGATIDE - Issu de la reprise QUADRILABO du 07/02/2019;;;3;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;21/01/2016;1;Epinephelus merra;Algues gazonnantes;1;1;7;20;Corail mort en place;Absence;20;2;;Nulle;Fort;Calme;Belle;NA;Montante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2016_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019 - ACD mort;Epinephelus merra;Non qualifié;;;60002174;69952048|69952049|69952052|69952050|69952047|69952046|69952051|69957364|69957363;67301000|67300999|67301001|67301002|67300998;Zones marines;126;244;11:00:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;1;m;;;;;1;;;Observateur(s) : Anna G - Issu de la reprise QUADRILABO du 07/02/2019;;;4;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;21/01/2016;1;Epinephelus merra;Acropore digité;2;1;7;290;Substrat dur colonisé;Présence;20;2;;Nulle;Fort;Calme;Belle;NA;Montante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2016_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952048|69952049|69952052|69952050|69952047|69952046|69952051|69957364|69957363;67301005|67301004|67301006|67301007|67301003;Zones marines;126;244;11:00:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;1;m;;;;;1;;;Observateur(s) : Anna G - Issu de la reprise QUADRILABO du 07/02/2019;;;4;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;21/01/2016;1;Epinephelus merra;Acropore digité;3;1;9;1200;Substrat dur colonisé;Présence;20;2;;Nulle;Fort;Calme;Belle;NA;Montante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2016_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952048|69952049|69952052|69952050|69952047|69952046|69952051|69957364|69957363;67301010|67301009|67301011|67301012|67301008;Zones marines;126;244;11:00:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;1;m;;;;;1;;;Observateur(s) : Anna G - Issu de la reprise QUADRILABO du 07/02/2019;;;4;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;21/01/2016;1;Epinephelus merra;Acropore branchu;4;1;8;1780;Substrat dur colonisé;Absence;20;2;;Nulle;Fort;Calme;Belle;NA;Montante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2016_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952048|69952049|69952052|69952050|69952047|69952046|69952051|69957364|69957363;67301015|67301014|67301016|67301017|67301013;Zones marines;126;244;11:00:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;1;m;;;;;1;;;Observateur(s) : Anna G - Issu de la reprise QUADRILABO du 07/02/2019;;;4;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;11/01/2017;1;Epinephelus merra;Algues gazonnantes;1;1;8;2000;Corail mort en place;Présence;20;2;;Nulle;Fort;Calme;Belle;Moyen;Descendante;de 11 à 18 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2017_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019 - ACB mort;Epinephelus merra;Non qualifié;;;60002174;69952055|69952056|69952059|69952057|69952054|69952053|69952058|69957366|69957365;67301020|67301019|67301021|67301022|67301018;Zones marines;126;244;10:53:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,7;m;;;;;1;;;Observateur(s) : Tévamie RUNGASSAMY - Issu de la reprise QUADRILABO du 07/02/2019;;;1;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;26/01/2018;1;Epinephelus merra;;1;1;20;1930;Débris;Présence;20;2;00 - 03 m;;Moyen;Brise;Belle;Faible;;de 11 à 18 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;Guillaume NEDELLEC - GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;;Résultat dupliqué le 2019-11-19 depuis l'observation null;Epinephelus merra;Non qualifié;;;60002174;71171240|71171243|71171239|71171242|71171238|71171241|71169613|71169612;69328517|69328518|69328519|69328515|69328516;Zones marines;126;244;09:47:00;;19/11/2019;28/07/2020;Non qualifié;;;1;;;09:47:00;;;;1;;;;;;;09/01/2020;28/07/2020;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
